"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Popolazione residente - bilancio"
"ITTER107","CL_ITTER107","Popolazione residente - bilancio"
"SESSO","CL_SEXISTAT1","Popolazione residente - bilancio"
"TIPO_INDDEM","CL_TIPO_DATO15","Popolazione residente - bilancio"
