"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Nic - medie annue dal 2016 (base 2015)"
"COICOP_REV_ISTAT","CL_COICOP_2015","Nic - medie annue dal 2016 (base 2015)"
"ITTER107","CL_ITTER107","Nic - medie annue dal 2016 (base 2015)"
"MISURA1","CL_MISURA1","Nic - medie annue dal 2016 (base 2015)"
"IND_TYPE","CL_TIPO_DATO2","Nic - medie annue dal 2016 (base 2015)"
