"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Tasso di occupazione"
"CITTADINANZA","CL_CITTADINANZA","Tasso di occupazione"
"CLASSE_ETA","CL_ETA1","Tasso di occupazione"
"ITTER107","CL_ITTER107","Tasso di occupazione"
"SESSO","CL_SEXISTAT1","Tasso di occupazione"
"TIPO_DATO","CL_TIPO_DATO_FOL","Tasso di occupazione"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Tasso di occupazione"
