"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Popolazione residente ricostruita - Anni 2002-2019"
"SESSO","CL_SEXISTAT1","Popolazione residente ricostruita - Anni 2002-2019"
"TIPO_DATO","CL_TIPO_DATO15","Popolazione residente ricostruita - Anni 2002-2019"
"CLASSE_ETA","CL_ETA1","Popolazione residente ricostruita - Anni 2002-2019"
"CITTADINANZA","CL_CITTADINANZA","Popolazione residente ricostruita - Anni 2002-2019"
"ITTER107","CL_ITTER107","Popolazione residente ricostruita - Anni 2002-2019"
