"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Occupazione per branca di attività (NACE Rev.2)"
"BRANCA_ATTIV_REV2","CL_BRANCA_ATTIVITAREV2","Occupazione per branca di attività (NACE Rev.2)"
"ADJUSTMENT","CL_CORREZ","Occupazione per branca di attività (NACE Rev.2)"
"ITTER107","CL_ITTER107","Occupazione per branca di attività (NACE Rev.2)"
"POSIZ_PROF","CL_POSIZPROF","Occupazione per branca di attività (NACE Rev.2)"
"SETTIST","CL_SETTIST","Occupazione per branca di attività (NACE Rev.2)"
"TIPO_AGGR","CL_TIPO_DATO17","Occupazione per branca di attività (NACE Rev.2)"
"TIPO_OCCUP","CL_TIP_OCCUP","Occupazione per branca di attività (NACE Rev.2)"
"EDI","CL_T_BIS","Occupazione per branca di attività (NACE Rev.2)"
