"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"BRANCA_ATTIV_REV2","CL_BRANCA_ATTIVITAREV2","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"ADJUSTMENT","CL_CORREZ","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"ITTER107","CL_ITTER107","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"POSIZ_PROF","CL_POSIZPROF","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"SETTIST","CL_SETTISTSEC2010","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"TIPO_AGGR","CL_TIPO_DATO_OCC","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"TIPO_OCCUP","CL_TIP_OCCUP","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
"EDI","CL_T_BIS","Occupazione regolare, irregolare e popolazione - edizioni ottobre 2014 - dicembre 2018"
