"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Fertilizzanti"
"ELEMENTI_NUTRITIVI","CL_ELEMENTI_CHIMICI","Fertilizzanti"
"FERTILIZZANTI","CL_FERTILIZZANTI","Fertilizzanti"
"AREA_PRODUZIONE","CL_ISO","Fertilizzanti"
"ITTER107","CL_ITTER107","Fertilizzanti"
"CATEG_PRODOTTO","CL_PROD_ENERG","Fertilizzanti"
"USO_AGRI_BIO","CL_SI_NO","Fertilizzanti"
"TIP_VAR","CL_TIPO_DATO5","Fertilizzanti"
