"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Occupazione regolare, irregolare e popolazione"
"BRANCA_ATTIV_REV2","CL_BRANCA_ATTIVITAREV2","Occupazione regolare, irregolare e popolazione"
"ADJUSTMENT","CL_CORREZ","Occupazione regolare, irregolare e popolazione"
"ITTER107","CL_ITTER107","Occupazione regolare, irregolare e popolazione"
"POSIZ_PROF","CL_POSIZPROF","Occupazione regolare, irregolare e popolazione"
"SETTIST","CL_SETTISTSEC2010","Occupazione regolare, irregolare e popolazione"
"TIPO_AGGR","CL_TIPO_DATO_OCC","Occupazione regolare, irregolare e popolazione"
"EDI","CL_T_BIS","Occupazione regolare, irregolare e popolazione"
"TIPO_OCCUP","CL_TIP_OCCUP","Occupazione regolare, irregolare e popolazione"
