"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Forze di lavoro"
"CITTADINANZA","CL_CITTADINANZA","Forze di lavoro"
"CLASSE_ETA","CL_ETA1","Forze di lavoro"
"ITTER107","CL_ITTER107","Forze di lavoro"
"SESSO","CL_SEXISTAT1","Forze di lavoro"
"TIPO_DATO","CL_TIPO_DATO_FOL","Forze di lavoro"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Forze di lavoro"
