"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Foi - mensili dal 2011 al 2015 (base 2010)"
"COICOP_REV_ISTAT","CL_COICOP","Foi - mensili dal 2011 al 2015 (base 2010)"
"ITTER107","CL_ITTER107","Foi - mensili dal 2011 al 2015 (base 2010)"
"MISURA1","CL_MISURA1","Foi - mensili dal 2011 al 2015 (base 2010)"
"IND_TYPE","CL_TIPO_DATO2","Foi - mensili dal 2011 al 2015 (base 2010)"
