"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Tasso di disoccupazione"
"CITTADINANZA","CL_CITTADINANZA","Tasso di disoccupazione"
"DURATA_DISOCCUPAZ","CL_DURATA","Tasso di disoccupazione"
"CLASSE_ETA","CL_ETA1","Tasso di disoccupazione"
"ITTER107","CL_ITTER107","Tasso di disoccupazione"
"SESSO","CL_SEXISTAT1","Tasso di disoccupazione"
"TIPO_DATO","CL_TIPO_DATO_FOL","Tasso di disoccupazione"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Tasso di disoccupazione"
