"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Inattivi"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Inattivi"
"CITTADINANZA","CL_CITTADINANZA","Inattivi"
"CONDIZIONE_DICH","CL_CONDIZIONE_DICH","Inattivi"
"CONDIZIONE_PROF","CL_CONDIZIONE_PROF","Inattivi"
"CLASSE_ETA","CL_ETA1","Inattivi"
"ITTER107","CL_ITTER107","Inattivi"
"INATT_MOTIVO","CL_MOTIVOPS1","Inattivi"
"SESSO","CL_SEXISTAT1","Inattivi"
"TIPO_DATO","CL_TIPO_DATO_FOL","Inattivi"
