"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Veicoli - Pubblico registro automobilistico - comuni"
"TIPO_VEICOLO","CL_CATEGVEICOLI","Veicoli - Pubblico registro automobilistico - comuni"
"ITTER107","CL_ITTER107","Veicoli - Pubblico registro automobilistico - comuni"
"TIPO_DATO","CL_TIPO_DATO22","Veicoli - Pubblico registro automobilistico - comuni"
