"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Distribuzione di acqua potabile"
"ITTER107","CL_ITTER107","Distribuzione di acqua potabile"
"TIPO_DATO","CL_TIPO_DATO4","Distribuzione di acqua potabile"
