"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Superfici esposte a rischio idrogeologico"
"ITTER107","CL_ITTER107","Superfici esposte a rischio idrogeologico"
"TIPO_DATO","CL_TIPO_DATO4","Superfici esposte a rischio idrogeologico"
