"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Scuola dell'infanzia"
"ITTER107","CL_ITTER107","Scuola dell'infanzia"
"MISURA1","CL_MISURA1","Scuola dell'infanzia"
"GEST_SCUOLA","CL_NATGIUR","Scuola dell'infanzia"
"ORDINESCOL","CL_ORDINESCOL","Scuola dell'infanzia"
"TIPO_DATO","CL_TIPO_DATO6","Scuola dell'infanzia"
