"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Musei ed istituzioni similari - comuni"
"ITTER107","CL_ITTER107","Musei ed istituzioni similari - comuni"
"TIPO_DATO","CL_TIPO_DATO30","Musei ed istituzioni similari - comuni"
