"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Delitti denunciati dalle forze di polizia all'autorità giudiziaria"
"REF_AREA","CL_REFAREA","Delitti denunciati dalle forze di polizia all'autorità giudiziaria"
"IND_TYPE","CL_INDICATORI_GIUSTSIC","Delitti denunciati dalle forze di polizia all'autorità giudiziaria"
"TIPO_DELITTO","CL_REATI_PS","Delitti denunciati dalle forze di polizia all'autorità giudiziaria"
"ID_AUTORE","CL_SI_NO","Delitti denunciati dalle forze di polizia all'autorità giudiziaria"
"PERIODO_DELITTO","CL_RIF_TIME","Delitti denunciati dalle forze di polizia all'autorità giudiziaria"
