"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Aggregati dei conti per branca di attività (NACE Rev.2)"
"SETTIST","CL_SETTIST","Aggregati dei conti per branca di attività (NACE Rev.2)"
"TIPPREZ","CL_TIPOLOG_PREZZO","Aggregati dei conti per branca di attività (NACE Rev.2)"
"EDI","CL_T_BIS","Aggregati dei conti per branca di attività (NACE Rev.2)"
"VAL","CL_VAL","Aggregati dei conti per branca di attività (NACE Rev.2)"
"ADJUSTMENT","CL_CORREZ","Aggregati dei conti per branca di attività (NACE Rev.2)"
"ITTER107","CL_ITTER107","Aggregati dei conti per branca di attività (NACE Rev.2)"
"BRANCA_ATTIV_REV2","CL_BRANCA_ATTIVITAREV2","Aggregati dei conti per branca di attività (NACE Rev.2)"
"TIP_AGGR","CL_TIPO_DATO_BRANCA","Aggregati dei conti per branca di attività (NACE Rev.2)"
