"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Stranieri residenti - Bilancio"
"ITTER107","CL_ITTER107","Stranieri residenti - Bilancio"
"SESSO","CL_SEXISTAT1","Stranieri residenti - Bilancio"
"TIPO_INDDEM","CL_TIPO_DATO15","Stranieri residenti - Bilancio"
