"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Prodotti di qualità DOP/IGP e STG: operatori - dati comunali"
"ITTER107","CL_ITTER107","Prodotti di qualità DOP/IGP e STG: operatori - dati comunali"
"TIP_VAR","CL_TIPO_DATO5","Prodotti di qualità DOP/IGP e STG: operatori - dati comunali"
