"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Tasso di attività"
"CITTADINANZA","CL_CITTADINANZA","Tasso di attività"
"CLASSE_ETA","CL_ETA1","Tasso di attività"
"ITTER107","CL_ITTER107","Tasso di attività"
"SESSO","CL_SEXISTAT1","Tasso di attività"
"TIPO_DATO","CL_TIPO_DATO_FOL","Tasso di attività"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Tasso di attività"
