"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Foi - mensili sino al 2010 (base 1995)"
"IND_TYPE","CL_TIPO_DATO2","Foi - mensili sino al 2010 (base 1995)"
"COICOP","CL_COICOP_NIC","Foi - mensili sino al 2010 (base 1995)"
"ITTER107","CL_ITTER107","Foi - mensili sino al 2010 (base 1995)"
"MISURA1","CL_MISURA1","Foi - mensili sino al 2010 (base 1995)"
