"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Stranieri residenti al 1° gennaio - Cittadinanza"
"TIPO_INDDEM","CL_TIPO_DATO15","Stranieri residenti al 1° gennaio - Cittadinanza"
"PAESE_CITTAD","CL_ISO","Stranieri residenti al 1° gennaio - Cittadinanza"
"ITTER107","CL_ITTER107","Stranieri residenti al 1° gennaio - Cittadinanza"
"SESSO","CL_SEXISTAT1","Stranieri residenti al 1° gennaio - Cittadinanza"
