"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Servizi bancari - dati comunali"
"ITTER107","CL_ITTER107","Servizi bancari - dati comunali"
"TIPO_DATO","CL_TIPO_DATO_BANCA_ITA","Servizi bancari - dati comunali"
