"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Imprese - occupati"
"ATECO_2007","CL_ATECO_2007","Imprese - occupati"
"ADDETTI","CL_CLLVT","Imprese - occupati"
"CLASSE_ETA","CL_ETA1","Imprese - occupati"
"CLASSE_ETA_IMPR","CL_ETA1","Imprese - occupati"
"FORMGIUR","CL_FORMGIUR","Imprese - occupati"
"PAESE_NASC","CL_ISO","Imprese - occupati"
"ITTER107","CL_ITTER107","Imprese - occupati"
"SESSO","CL_SEXISTAT1","Imprese - occupati"
"TIPO_DATO","CL_TIPO_DATO_CIS","Imprese - occupati"
