"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Unità locali - lavoratori dipendenti"
"ATECO_2007","CL_ATECO_2007","Unità locali - lavoratori dipendenti"
"ADDETTI","CL_CLLVT","Unità locali - lavoratori dipendenti"
"CLASSE_ETA","CL_ETA1","Unità locali - lavoratori dipendenti"
"PAESE_NASC","CL_ISO","Unità locali - lavoratori dipendenti"
"ITTER107","CL_ITTER107","Unità locali - lavoratori dipendenti"
"QUAL_PROF1","CL_PROFILO_PROF","Unità locali - lavoratori dipendenti"
"SESSO","CL_SEXISTAT1","Unità locali - lavoratori dipendenti"
"TIPO_DATO","CL_TIPO_DATO_CIS","Unità locali - lavoratori dipendenti"
