"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Permessi di soggiorno dei cittadini non comunitari"
"TIPO_DATO","CL_TIPO_DATO15","Permessi di soggiorno dei cittadini non comunitari"
"STATO_CIV","CL_STATCIV2","Permessi di soggiorno dei cittadini non comunitari"
"TIPO_PERMESSO","CL_DURATA","Permessi di soggiorno dei cittadini non comunitari"
"CLASSE_ETA","CL_ETA1","Permessi di soggiorno dei cittadini non comunitari"
"PRINC_PAESI_CITTAD","CL_ISO","Permessi di soggiorno dei cittadini non comunitari"
"ITTER107","CL_ITTER107","Permessi di soggiorno dei cittadini non comunitari"
"MOTIVO_PERM_SOG","CL_MOTIVOPS1","Permessi di soggiorno dei cittadini non comunitari"
"SESSO","CL_SEXISTAT1","Permessi di soggiorno dei cittadini non comunitari"
